LEGAJO	CARRERA	FECHA_INGRESO	FECHA_INSCRIPCION	MODALIDAD_DES	MATERIAS APROBADAS CARRERA	MATERIAS REGULARES	PROMEDIO CON APLAZO	PROMEDIO SIN APLAZO	GENERO	COHORTE	PERIODO	SUBPERIODO	INGR / REINSC	FECHA_PAGO_MATRICULA	PROVINCIA_ALUMNO	ESTADO	ULTIMA_MATRICULA	ULTIMO_ARANCEL	NPS
398	Abogacía	30/7/2021	13/6/2023	Distancia - MTD	18	0	7	6,97	Femenino	2021	feb-23	A-2-2023	Reinscripto	13/6/2023	Neuquen	MATRICULA PAGA	ene-24	ene-24	10
399	Licenciatura En Relaciones Públicas E Institucionales	16/7/2020	12/6/2023	Distancia - MTD	43	0	9	8,83	Femenino	2020	feb-23	A-2-2023	Reinscripto	12/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	feb-23	9
400	Abogacía	26/7/2021	16/6/2023	Distancia - MTD	21	0	8	7,78	Femenino	2022	feb-23	A-2-2023	Reinscripto	16/6/2023	Misiones	MATRICULA PAGA	ene-24	ene-24	9
401	Martillero, Corredor Público Y Corredor Inmobiliario	10/1/2022	6/6/2023	Distancia - ED	15	0	9	9	Femenino	2022	feb-23	A-2-2023	Reinscripto	6/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
402	Martillero, Corredor Público Y Corredor Inmobiliario	17/12/2022	6/6/2023	Distancia - MTD	8	0	8	8,13	Masculino	2023	feb-23	A-2-2023	Reinscripto	6/6/2023	Neuquen	MATRICULA PAGA	feb-24	feb-24	9
403	Abogacía	18/1/2022	15/6/2023	Distancia - MTD	23	0	7	7	Masculino	2022	feb-23	A-2-2023	Reinscripto	15/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
404	Abogacía	26/12/2016	2/8/2023	Distancia - ED	2	0	7	7,51	Femenino	2017	feb-23	A-2-2023	Reinscripto	2/8/2023	Jujuy	MATRICULA PAGA	ene-24	ene-24	9
405	Abogacía	20/5/2022	7/6/2023	Distancia - MTD	13	0	5	5,69	Femenino	2022	feb-23	A-2-2023	Reinscripto	7/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
406	Abogacía	10/4/2018	1/7/2023	Distancia - ED	23	0	8	8,08	Masculino	2018	feb-23	A-2-2023	Reinscripto	1/7/2023	Rio Negro	MATRICULA PAGA	ene-24	ene-24	10
407	Abogacía	5/2/2020	8/6/2023	Distancia - MTD	14	0	9	9,18	Femenino	2020	feb-23	A-2-2023	Reinscripto	8/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
408	Contador Público	28/5/2009	10/8/2023	Distancia - MTD	21	1	8	8,44	Masculino	2009	feb-23	A-2-2023	Reinscripto	10/8/2023	Corrientes	MATRICULA PAGA	ene-24	ene-24	6
409	Abogacía	30/6/2018	6/6/2023	Distancia - MTD	11	0	7	7,19	Femenino	2018	feb-23	A-2-2023	Reinscripto	6/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	6
410	Licenciatura En Relaciones Internacionales	19/2/2015	27/7/2023	Distancia - MTD	41	0	8	7,69	Femenino	2015	feb-23	A-2-2023	Reinscripto	27/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	6
411	Abogacía	31/8/2020	30/6/2023	Distancia - MTD	13	0	8	8,41	Masculino	2020	feb-23	A-2-2023	Reinscripto	30/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	0
412	Licenciatura En Informática	11/1/2017	26/7/2023	Distancia - MTD	10	0	7	7,52	Masculino	2017	feb-23	A-2-2023	Reinscripto	26/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	ene-23	10
413	Tecnicatura En Responsabilidad Y Gestión Social	15/4/2021	23/6/2023	Distancia - MTD	18	0	5	5,39	Masculino	2021	feb-23	A-2-2023	Reinscripto	23/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	feb-23	10
414	Licenciatura En Gestión De Recursos Humanos	4/8/2022	5/6/2023	Distancia - MTD	17	1	7	7,24	Femenino	2022	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
415	Contador Público	23/7/2020	5/6/2023	Distancia - MTD	23	0	8	8,11	Femenino	2020	feb-23	A-2-2023	Reinscripto	5/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
416	Tecnicatura Universitaria En Gestión Administrativa De Servicios De Salud	31/1/2023	16/6/2023	Distancia - MTD	2	0	8	8	Femenino	2023	feb-23	A-2-2023	Reinscripto	16/6/2023	Cordoba	MATRICULA PAGA	feb-23	feb-23	10
417	Licenciatura En Seguridad Informatica	4/3/2022	13/6/2023	Distancia - MTD	23	0	9	9	Masculino	2022	feb-23	A-2-2023	Reinscripto	13/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	7
418	Abogacía	12/3/2019	13/7/2023	Distancia - MTD	11	0	8	7,67	Femenino	2019	feb-23	A-2-2023	Reinscripto	13/7/2023	Mendoza	MATRICULA PAGA	feb-23	feb-23	10
419	Abogacía	10/2/2022	27/6/2023	Distancia - ED	19	0	7	7,32	Masculino	2022	feb-23	A-2-2023	Reinscripto	27/6/2023	San Juan	MATRICULA PAGA	ene-24	feb-23	3
420	Abogacía	15/4/2020	5/7/2023	Distancia - MTD	13	1	9	8,84	Masculino	2020	feb-23	A-2-2023	Reinscripto	5/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	7
421	Licenciatura En Gestión De Recursos Humanos	14/3/2012	26/7/2023	Distancia - MTD	33	3	7	7,43	Masculino	2012	feb-23	A-2-2023	Reinscripto	26/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	feb-23	5
422	Licenciatura En Comercio Internacional	8/3/2021	5/6/2023	Distancia - MTD	27	0	9	8,59	Femenino	2022	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	9
423	Martillero, Corredor Público Y Corredor Inmobiliario	29/7/2021	5/6/2023	Distancia - MTD	10	0	8	8,08	Masculino	2021	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	8
424	Contador Público	19/9/2017	25/7/2023	Distancia - ED	11	4	6	6,48	Femenino	2017	feb-23	A-2-2023	Reinscripto	25/7/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	9
425	Licenciatura En Matemática	2/2/2022	8/6/2023	Distancia - MTD	24	0	9	8,58	Masculino	2022	feb-23	A-2-2023	Reinscripto	8/6/2023	Salta	MATRICULA PAGA	feb-24	feb-24	0
426	Abogacía	30/7/2020	8/6/2023	Distancia - MTD	19	1	8	8,41	Masculino	2020	feb-23	A-2-2023	Reinscripto	8/6/2023	Salta	MATRICULA PAGA	ene-24	feb-23	7
427	Procurador	31/5/2022	6/6/2023	Distancia - MTD	26	0	9	8,5	Femenino	2022	feb-23	A-2-2023	Reinscripto	6/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
428	Abogacía	24/2/2023	16/6/2023	Distancia - ED	6	0	8	8	Femenino	2023	feb-23	A-2-2023	Reinscripto	16/6/2023	Cordoba	MATRICULA PAGA	feb-23	feb-23	10
429	Licenciatura En Comercio Internacional	28/1/2011	11/7/2023	Distancia - ED	35	2	6	7,06	Femenino	2011	feb-23	A-2-2023	Reinscripto	11/7/2023	Rio Negro	MATRICULA PAGA	ene-24	ene-24	10
430	Contador Público	18/7/2023	18/7/2023	Distancia - MTD	4	0	8	8,25	Femenino	2023	feb-23	A-2-2023	Ingresante	18/7/2023	Rio Negro	MATRICULA PAGA	feb-23	feb-23	10
431	Contador Público	30/6/2023	30/6/2023	Distancia - MTD	6	0	8	8	Femenino	2023	feb-23	A-2-2023	Ingresante	30/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
432	Escribanía-Ciclo	5/5/2023	2/8/2023	Distancia - MTD	4	0	8	7,75	Femenino	2023	feb-23	A-2-2023	Ingresante	2/8/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	10
433	Licenciatura En Administración	2/11/2022	13/6/2023	Distancia - MTD	7	1	8	7,86	Masculino	2023	feb-23	A-2-2023	Reinscripto	13/6/2023	Sin datos	MATRICULA PAGA	feb-23	feb-23	9
434	Martillero, Corredor Público Y Corredor Inmobiliario	5/8/2020	18/7/2023	Distancia - MTD	7	0	7	7,14	Masculino	2023	feb-23	A-2-2023	Reinscripto	18/7/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
435	Abogacía	13/7/2021	6/6/2023	Distancia - MTD	25	0	8	8,39	Masculino	2021	feb-23	A-2-2023	Reinscripto	6/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
436	Abogacía	25/3/2022	9/6/2023	Distancia - MTD	13	0	6	6,38	Femenino	2022	feb-23	A-2-2023	Reinscripto	9/6/2023	Santiago Del Estero	MATRICULA PAGA	feb-23	ene-23	10
437	Abogacía	19/8/2021	13/6/2023	Distancia - MTD	10	0	6	6,58	Masculino	2021	feb-23	A-2-2023	Reinscripto	13/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
438	Licenciatura En Psicología	30/9/2022	13/6/2023	PRESENCIAL.	9	1	8	8	Femenino	2023	feb-23	A-2-2023	Reinscripto	13/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
439	Licenciatura En Criminología Y Seguridad	5/7/2022	8/7/2023	Distancia - MTD	17	0	7	7,25	Femenino	2022	feb-23	A-2-2023	Reinscripto	8/7/2023	Tierra Del Fuego	MATRICULA PAGA	ene-24	ene-24	9
440	Contador Público	20/4/2016	5/6/2023	Distancia - MTD	10	1	6	7,07	Femenino	2016	feb-23	A-2-2023	Reinscripto	5/6/2023	Sin datos	MATRICULA PAGA	ene-24	feb-23	7
441	Licenciatura En Educación - Ciclo	6/8/2023	6/8/2023	Distancia - MTD	2	0	5	7	Femenino	2023	feb-23	A-2-2023	Ingresante	6/8/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	ene-24	ene-24	7
442	Martillero, Corredor Público Y Corredor Inmobiliario	12/4/2023	17/7/2023	Distancia - MTD	5	1	8	7,8	Femenino	2023	feb-23	A-2-2023	Reinscripto	17/7/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	10
443	Abogacía	31/1/2023	6/6/2023	Distancia - MTD	12	0	10	9,5	Femenino	2023	feb-23	A-2-2023	Reinscripto	6/6/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
444	Abogacía	19/1/2021	26/6/2023	Distancia - MTD	32	0	8	8,07	Masculino	2021	feb-23	A-2-2023	Reinscripto	26/6/2023	Tierra Del Fuego	MATRICULA PAGA	ene-24	ene-24	10
445	Contador Público	6/10/2020	15/6/2023	Distancia - MTD	6	1	9	8,58	Masculino	2020	feb-23	A-2-2023	Reinscripto	15/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	5
446	Abogacía	20/7/2023	20/7/2023	Distancia - ED	0	1	0	0	Masculino	2024	feb-23	A-2-2023	Ingresante	20/7/2023	Catamarca	MATRICULA PAGA	feb-24	feb-24	10
447	Martillero, Corredor Público Y Corredor Inmobiliario	26/11/2021	16/6/2023	Distancia - MTD	11	0	10	9,55	Femenino	2022	feb-23	A-2-2023	Reinscripto	16/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	10
448	Abogacía	26/3/2022	10/6/2023	Distancia - MTD	21	0	7	7,52	Femenino	2022	feb-23	A-2-2023	Reinscripto	10/6/2023	Salta	MATRICULA PAGA	ene-24	ene-24	0
449	Licenciatura En Administración	10/2/2021	5/6/2023	Distancia - MTD	35	0	8	8,3	Femenino	2021	feb-23	A-2-2023	Reinscripto	5/6/2023	Santa Fe	MATRICULA PAGA	feb-24	feb-24	9
450	Abogacía	3/2/2021	26/6/2023	Distancia - MTD	14	0	8	8,46	Masculino	2021	feb-23	A-2-2023	Reinscripto	26/6/2023	La Pampa	MATRICULA PAGA	feb-23	ene-23	9
451	Abogacía	26/6/2015	21/7/2023	Distancia - MTD	10	1	8	7,6	Femenino	2015	feb-23	A-2-2023	Reinscripto	21/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	feb-23	9
452	Licenciatura En Gestión De Recursos Humanos	19/9/2019	11/7/2023	Distancia - ED	42	0	9	8,96	Femenino	2019	feb-23	A-2-2023	Reinscripto	11/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	ene-23	10
453	Abogacía	23/9/2020	17/6/2023	Distancia - MTD	19	0	9	8,88	Masculino	2020	feb-23	A-2-2023	Reinscripto	17/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
454	Licenciatura En Administración	27/12/2021	28/7/2023	Distancia - ED	11	1	7	7,2	Masculino	2022	feb-23	A-2-2023	Reinscripto	28/7/2023	Corrientes	MATRICULA PAGA	ene-24	ene-23	10
455	Licenciatura En Educación - Ciclo	25/1/2023	27/6/2023	Distancia - MTD	12	0	7	7,33	Femenino	2023	feb-23	A-2-2023	Reinscripto	27/6/2023	San Juan	MATRICULA PAGA	ene-24	ene-24	9
456	Licenciatura En Educación - Ciclo	30/6/2023	30/6/2023	Distancia - MTD	2	0	7	7	Femenino	2023	feb-23	A-2-2023	Ingresante	30/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	10
457	Licenciatura En Administración	6/7/2022	7/6/2023	Distancia - MTD	19	0	7	7,42	Masculino	2022	feb-23	A-2-2023	Reinscripto	7/6/2023	Salta	MATRICULA PAGA	ene-24	ene-24	8
458	Licenciatura En Administración Agraria	14/7/2022	9/8/2023	Distancia - MTD	2	1	8	7,5	Femenino	2023	feb-23	A-2-2023	Reinscripto	9/8/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
459	Licenciatura En Gestión De Recursos Humanos	10/2/2017	6/7/2023	Distancia - ED	29	1	6	6,17	Masculino	2017	feb-23	A-2-2023	Reinscripto	6/7/2023	Neuquen	MATRICULA PAGA	ene-24	ene-24	10
460	Tecnicatura Universitaria En Marketing Y Publicidad Digital	24/7/2023	24/7/2023	Distancia - MTD	1	0	7	7	Femenino	2023	feb-23	A-2-2023	Ingresante	24/7/2023	Misiones	MATRICULA PAGA	feb-23	feb-23	10
461	Martillero, Corredor Público Y Corredor Inmobiliario	26/6/2023	26/6/2023	Distancia - MTD	0	0	0	0	Masculino	2023	feb-23	A-2-2023	Ingresante	26/6/2023	Santa Fe	MATRICULA PAGA	feb-23	feb-23	10
462	Tecnicatura En Higiene Y Seguridad Laboral	26/7/2023	26/7/2023	Distancia - MTD	0	0	0	0	Masculino	2023	feb-23	A-2-2023	Ingresante	26/7/2023	Chubut	MATRICULA PAGA	feb-23	feb-23	10
463	Abogacía	13/8/2021	4/8/2023	Distancia - MTD	24	0	8	7,67	Masculino	2021	feb-23	A-2-2023	Reinscripto	4/8/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
464	Tecnicatura En Dirección De Equipos De Ventas	17/7/2023	17/7/2023	Distancia - MTD	4	0	7	6,5	Masculino	2023	feb-23	A-2-2023	Ingresante	17/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
465	Tecnicatura En Dirección De Equipos De Ventas	17/7/2023	9/8/2023	Distancia - MTD	4	0	7	6,5	Masculino	2023	feb-23	A-2-2023	Reinscripto	9/8/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
466	Licenciatura En Educación - Ciclo	11/3/2023	18/7/2023	Distancia - MTD	0	0	1	0	Femenino	2023	feb-23	A-2-2023	Reinscripto	18/7/2023	Salta	MATRICULA PAGA	ene-24	ene-24	10
467	Procurador	5/2/2021	17/6/2023	Distancia - MTD	30	0	8	7,57	Femenino	2021	feb-23	A-2-2023	Reinscripto	17/6/2023	Mendoza	MATRICULA PAGA	feb-23	feb-23	10
468	Abogacía	22/3/2019	24/7/2023	Distancia - MTD	20	0	8	7,57	Femenino	2019	feb-23	A-2-2023	Reinscripto	24/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
469	Abogacía	13/7/2022	5/6/2023	Distancia - MTD	18	0	9	9,11	Masculino	2022	feb-23	A-2-2023	Reinscripto	5/6/2023	Neuquen	MATRICULA PAGA	feb-24	feb-24	10
470	Contador Público	31/1/2017	15/6/2023	Distancia - ED	9	2	5	5,71	Femenino	2017	feb-23	A-2-2023	Reinscripto	15/6/2023	Jujuy	MATRICULA PAGA	ene-24	ene-24	2
471	Abogacía	16/3/2009	22/7/2023	Distancia - ED	19	0	5	6,14	Femenino	2009	feb-23	A-2-2023	Reinscripto	22/7/2023	Jujuy	MATRICULA PAGA	ene-24	ene-24	7
472	Licenciatura En Educación - Ciclo	21/4/2023	14/7/2023	Distancia - MTD	8	0	7	7,13	Femenino	2023	feb-23	A-2-2023	Reinscripto	14/7/2023	San Luis	MATRICULA PAGA	ene-24	ene-24	8
473	Abogacía	28/3/2019	22/6/2023	Distancia - MTD	2	1	9	9,21	Femenino	2019	feb-23	A-2-2023	Reinscripto	22/6/2023	Mendoza	MATRICULA PAGA	ene-24	feb-23	3
474	Abogacía	9/5/2011	10/6/2023	Distancia - MTD	8	0	8	7,93	Masculino	2012	feb-23	A-2-2023	Reinscripto	10/6/2023	Tierra Del Fuego	MATRICULA PAGA	ene-24	ene-24	8
475	Licenciatura En Educación - Ciclo	21/7/2021	14/8/2023	Distancia - MTD	15	1	8	7,53	Femenino	2021	feb-23	A-2-2023	Reinscripto	14/8/2023	San Juan	MATRICULA PAGA	ene-24	ene-23	10
476	Licenciatura En Educación - Ciclo	20/4/2023	6/7/2023	Distancia - MTD	9	0	7	6,89	Masculino	2023	feb-23	A-2-2023	Reinscripto	6/7/2023	La Pampa	MATRICULA PAGA	feb-24	feb-24	10
477	Licenciatura En Gestión De Recursos Humanos	2/1/2020	9/8/2023	Distancia - MTD	29	1	7	6,76	Masculino	2020	feb-23	A-2-2023	Reinscripto	9/8/2023	La Pampa	MATRICULA PAGA	feb-23	feb-23	10
478	Abogacía	16/9/2021	5/6/2023	Distancia - MTD	29	1	8	8,36	Femenino	2021	feb-23	A-2-2023	Reinscripto	5/6/2023	La Pampa	MATRICULA PAGA	ene-24	ene-24	10
479	Contador Público	20/2/2006	25/7/2023	Distancia - MTD	5	0	5	5,76	Masculino	2006	feb-23	A-2-2023	Reinscripto	25/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
480	Contador Público	31/7/2020	8/6/2023	Distancia - MTD	1	1	7	7,5	Femenino	2020	feb-23	A-2-2023	Reinscripto	8/6/2023	Sin datos	MATRICULA PAGA	ene-24	ene-24	3
481	Escribanía-Ciclo	10/7/2023	10/7/2023	Distancia - MTD	8	0	9	8,5	Femenino	2023	feb-23	A-2-2023	Ingresante	10/7/2023	San Juan	MATRICULA PAGA	ene-24	feb-23	6
482	Martillero, Corredor Público Y Corredor Inmobiliario	19/3/2019	10/7/2023	Distancia - MTD	10	0	8	7,67	Femenino	2019	feb-23	A-2-2023	Reinscripto	10/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
483	Licenciatura En Gestión De Recursos Humanos	30/1/2023	13/7/2023	Distancia - MTD	13	1	8	8,08	Femenino	2023	feb-23	A-2-2023	Reinscripto	13/7/2023	Mendoza	MATRICULA PAGA	ene-24	ene-24	10
484	Licenciatura En Gerontología-Ciclo	22/10/2022	13/6/2023	Distancia - MTD	14	0	6	6,79	Masculino	2023	feb-23	A-2-2023	Reinscripto	13/6/2023	Tucuman	MATRICULA PAGA	feb-24	feb-24	6
485	Abogacía	20/11/2014	7/7/2023	Distancia - MTD	0	0	0	0	Masculino	2015	feb-23	A-2-2023	Reinscripto	7/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	ene-23	0
486	Abogacía	27/8/2022	19/6/2023	Distancia - MTD	10	0	8	7,8	Femenino	2022	feb-23	A-2-2023	Reinscripto	19/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
487	Licenciatura En Administración	24/1/2017	10/8/2023	Distancia - MTD	17	0	6	6,29	Masculino	2017	feb-23	A-2-2023	Reinscripto	10/8/2023	San Juan	MATRICULA PAGA	feb-23	ene-23	8
488	Tecnicatura Universitaria En Promoción Comunitaria En Niñez Y Adolescencia	3/10/2022	8/6/2023	Distancia - MTD	4	0	8	7,5	Femenino	2022	feb-23	A-2-2023	Reinscripto	8/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	ene-23	10
489	Abogacía	6/5/2011	6/7/2023	Distancia - MTD	11	2	7	7,45	Masculino	2011	feb-23	A-2-2023	Reinscripto	6/7/2023	Corrientes	MATRICULA PAGA	feb-24	feb-24	10
490	Abogacía	26/4/2021	7/6/2023	Distancia - ED	15	0	6	6,25	Masculino	2021	feb-23	A-2-2023	Reinscripto	7/6/2023	Entre Rios	MATRICULA PAGA	ene-24	feb-23	10
491	Contador Público	13/2/2021	9/6/2023	Distancia - MTD	26	2	7	7,19	Femenino	2021	feb-23	A-2-2023	Reinscripto	9/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	5
492	Abogacía	10/3/2020	31/7/2023	Distancia - MTD	10	1	9	8,7	Masculino	2020	feb-23	A-2-2023	Reinscripto	31/7/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	10
493	Abogacía	23/2/2021	5/6/2023	Distancia - MTD	23	1	9	8,91	Masculino	2021	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	ene-24	9
494	Licenciatura En Informática	7/12/2012	31/8/2023	Distancia - MTD	4	0	7	7,03	Masculino	2013	feb-23	B-2-2023	Reinscripto	31/8/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	3
495	Contador Público	30/7/2022	5/6/2023	Distancia - MTD	17	1	9	8,94	Femenino	2022	feb-23	A-2-2023	Reinscripto	5/6/2023	Santiago Del Estero	MATRICULA PAGA	feb-24	feb-24	10
496	Abogacía	15/2/2020	8/6/2023	Distancia - MTD	18	1	6	6,1	Masculino	2020	feb-23	A-2-2023	Reinscripto	8/6/2023	La Pampa	MATRICULA PAGA	ene-24	ene-24	10
497	Martillero, Corredor Público Y Corredor Inmobiliario	16/3/2022	13/6/2023	Distancia - MTD	18	0	9	9,06	Masculino	2022	feb-23	A-2-2023	Reinscripto	13/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	7
498	Escribanía-Ciclo	5/7/2023	5/7/2023	Distancia - MTD	6	0	8	8,17	Masculino	2023	feb-23	A-2-2023	Ingresante	5/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	3
499	Martillero, Corredor Público Y Corredor Inmobiliario	18/8/2023	18/8/2023	Distancia - MTD	0	0	0	0	Femenino	2023	feb-23	A-2-2023	Ingresante	18/8/2023	Buenos Aires	BAJA CARRERA	feb-23	feb-23	0
500	Abogacía	4/3/2020	28/9/2023	Distancia - ED	14	0	9	8,61	Femenino	2020	feb-23	B-2-2023	Reinscripto	28/9/2023	Catamarca	MATRICULA PAGA	feb-23	ene-23	10
501	Tecnicatura Universitaria En Gestión Administrativa De Servicios De Salud	10/5/2023	9/6/2023	Distancia - MTD	7	0	9	8,5	Femenino	2023	feb-23	A-2-2023	Reinscripto	9/6/2023	Cordoba	MATRICULA PAGA	feb-24	feb-24	8
502	Abogacía	29/7/2019	15/8/2023	Distancia - MTD	10	0	7	8,21	Femenino	2019	feb-23	A-2-2023	Reinscripto	15/8/2023	Misiones	MATRICULA PAGA	ene-24	ene-24	10
503	Abogacía	7/3/2019	12/7/2023	Distancia - MTD	9	0	9	8,9	Femenino	2019	feb-23	A-2-2023	Reinscripto	12/7/2023	La Pampa	MATRICULA PAGA	ene-24	feb-23	7
504	Abogacía	25/8/2022	30/6/2023	Distancia - MTD	2	0	5	7,5	Femenino	2023	feb-23	A-2-2023	Reinscripto	30/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	7
505	Licenciatura En Gestión De Recursos Humanos	24/2/2022	27/6/2023	Distancia - MTD	8	0	8	8,28	Masculino	2022	feb-23	A-2-2023	Reinscripto	27/6/2023	Salta	MATRICULA PAGA	ene-24	feb-23	9
506	Licenciatura En Psicología	18/1/2021	9/7/2023	PRESENCIAL.	30	6	9	9,39	Femenino	2019	feb-23	A-2-2023	Reinscripto	9/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	5
507	Procurador	17/5/2022	8/6/2023	Distancia - MTD	27	0	8	8,19	Masculino	2022	feb-23	A-2-2023	Reinscripto	8/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	2
508	Contador Público	30/12/2019	8/6/2023	Distancia - MTD	18	0	8	8,77	Masculino	2020	feb-23	A-2-2023	Reinscripto	8/6/2023	Misiones	MATRICULA PAGA	feb-24	feb-24	9
509	Abogacía	3/6/2023	3/6/2023	Distancia - MTD	2	2	8	7,5	Femenino	2023	feb-23	A-2-2023	Ingresante	3/6/2023	Mendoza	MATRICULA PAGA	ene-24	ene-24	10
510	Licenciatura En Administración	4/9/2012	7/7/2023	Distancia - MTD	20	0	7	7,22	Masculino	2012	feb-23	A-2-2023	Reinscripto	7/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
511	Abogacía	23/1/2020	4/8/2023	Distancia - MTD	18	0	8	7,64	Femenino	2020	feb-23	A-2-2023	Reinscripto	4/8/2023	Rio Negro	MATRICULA PAGA	ene-24	ene-24	10
512	Licenciatura En Inteligencia Artificial Y Robótica	22/8/2023	22/8/2023	Distancia - MTD	6	0	8	8,17	Masculino	2023	feb-23	B-2-2023	Ingresante	22/8/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
513	Abogacía	12/5/2023	21/6/2023	Distancia - MTD	8	0	8	8,11	Femenino	2023	feb-23	A-2-2023	Reinscripto	21/6/2023	Salta	MATRICULA PAGA	feb-24	feb-24	10
514	Abogacía	1/2/2023	6/6/2023	Distancia - MTD	10	0	9	9,3	Femenino	2023	feb-23	A-2-2023	Reinscripto	6/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
515	Abogacía	16/11/2022	6/6/2023	Distancia - MTD	10	0	5	4,83	Masculino	2023	feb-23	A-2-2023	Reinscripto	6/6/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	6
516	Abogacía	26/10/2021	2/8/2023	Distancia - MTD	19	0	7	6,87	Masculino	2021	feb-23	A-2-2023	Reinscripto	2/8/2023	Tucuman	MATRICULA PAGA	ene-24	ene-24	10
517	Licenciatura En Matemática	1/3/2023	16/6/2023	Distancia - MTD	13	1	9	9,31	Masculino	2023	feb-23	A-2-2023	Reinscripto	16/6/2023	Catamarca	MATRICULA PAGA	ene-24	ene-24	9
518	Abogacía	1/8/2012	14/6/2023	Distancia - ED	3	1	7	7,42	Femenino	2012	feb-23	A-2-2023	Reinscripto	14/6/2023	Santiago Del Estero	MATRICULA PAGA	feb-23	feb-23	9
519	Procurador	18/7/2023	18/7/2023	Distancia - MTD	9	0	9	9,44	Femenino	2023	feb-23	A-2-2023	Ingresante	18/7/2023	Mendoza	MATRICULA PAGA	feb-24	ene-24	10
520	Abogacía	20/3/2018	19/7/2023	Distancia - MTD	6	0	9	8,93	Femenino	2018	feb-23	A-2-2023	Reinscripto	19/7/2023	Tierra Del Fuego	MATRICULA PAGA	feb-23	ene-23	8
521	Tecnicatura En Higiene Y Seguridad Laboral	30/12/2021	5/6/2023	Distancia - MTD	18	0	9	8,61	Masculino	2022	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	8
